,nCIR,ZM1,GNar,S1K,piPC08,MATS1v,MATS7v,GATS1v,EEig05x,ESpm02x,ESpm03d,ESpm10d,ESpm13d,BELv3,RDF035v,G1m,G1v,G1e,G3s,R8u.,nRCOSR
180,0,0.03,0.06,0.03,0,0.44,0.28,0.33,0.16,0.26,0.62,0.57,0.71,0.22,0.03,0.11,1,1,1,0,0
240,0.14,0.13,0.72,0.08,0,0.5,0.28,0.25,0.33,0.55,0.55,0.44,0.62,0.52,0.09,0.08,0.08,0.07,1,0,0
261,0,0.04,0.28,0.07,0,0.47,0.28,0.31,0.16,0.28,0.54,0.43,0.61,0.4,0.03,0.09,0.08,0.08,0.61,0,0
326,0.14,0.2,0.63,0.17,0,0.5,0.04,0.25,0.65,0.63,0.64,0.5,0.65,0.62,0.27,0.11,0.04,0.04,1,0.55,0
454,0,0.11,0.49,0.2,0.15,0.49,0.17,0.28,0.35,0.45,0.54,0.43,0.61,0.72,0.03,0.05,0.04,0.04,0.53,0.42,0
650,0,0.07,0.2,0.09,0,0.45,0.28,0.38,0.06,0.43,0.72,0.64,0.76,0.38,0.04,0.09,1,1,1,0,0
957,0,0.11,0.49,0.21,0.09,0.49,0.17,0.28,0.31,0.41,0.24,0.14,0.34,0.74,0.02,0.04,0.04,0.04,0.21,0.38,0
1031,0,0.02,0.17,0.04,0,0.44,0.28,0.33,0.16,0.13,0.24,0,0.31,0.32,0.02,0.17,0.2,0.09,0.21,0,0
1068,0,0,0,0.02,0,0,0.28,0.75,0.16,0,0.7,0.67,0.78,0,0,1,1,1,1,0,0
1140,0.14,0.11,0.71,0.06,0,1,0.28,0,0.28,0.5,0.4,0.33,0.53,0.52,0.07,0.08,0.07,0.07,1,0,0
2758,0.43,0.26,0.74,0.16,0.22,0.46,0.28,0.46,0.37,0.64,0.71,0.65,0.76,0.7,0.51,0.09,0.09,0.11,1,0,0
3314,0.14,0.22,0.65,0.21,0.53,0.45,0.18,0.41,0.55,0.64,0.63,0.5,0.65,0.72,0.16,0.08,0.04,0.04,0.07,0.52,0
4133,0.14,0.2,0.63,0.17,0.49,0.44,0.28,0.42,0.49,0.63,0.68,0.61,0.74,0.58,0.1,0.06,0.06,0.09,0.08,0.53,0
5634,0,0.19,0.54,0.32,0.28,0.49,0.23,0.3,0.58,0.58,0.65,0.59,0.72,0.82,0.04,0.03,0.03,0.02,0.13,0.32,0
6054,0.14,0.15,0.73,0.12,0.37,0.5,0.28,0.25,0.37,0.55,0.46,0.37,0.57,0.52,0.12,0.06,0.09,0.07,0.1,0.52,0
6184,0,0.07,0.41,0.13,0,0.49,0.28,0.29,0.13,0.38,0.54,0.43,0.61,0.6,0.03,0.06,0.06,0.05,0.39,0,0
6501,0.29,0.33,0.77,0.25,0.65,0.43,0.24,0.46,0.72,0.73,0.8,0.74,0.83,0.76,0.24,0.06,0.03,0.05,0.09,0.5,0
6544,0.14,0.2,0.54,0.16,0,0.5,0.28,0.25,0.35,0.61,0.73,0.62,0.73,0.67,0.34,0.06,0.04,0.07,0.09,0,0
6561,0,0.05,0.18,0.07,0,0.47,0.28,0.31,0.16,0.32,0.58,0.47,0.64,0.55,0.11,0.09,0.08,0.08,0.17,0,0
6569,0,0.05,0.18,0.07,0,0.47,0.28,0.31,0.16,0.32,0.63,0.58,0.72,0.4,0.03,0.09,0.08,0.08,0.8,0,0
6590,0,0.07,0.2,0.1,0,0.45,0.28,0.38,0.05,0.39,0.66,0.61,0.74,0.58,0.07,0.08,0.08,0.07,0.15,0,0
6654,0.43,0.24,0.76,0.12,0.22,1,0.28,0,0.39,0.63,0.67,0.62,0.74,0.67,0.37,0.04,0.09,0.04,0.09,0,0
7059,0.43,0.23,0.9,0.12,0.81,0.46,0.28,0.46,0.65,0.67,0.52,0.44,0.61,0.63,0.1,0.13,0.09,0.09,1,0.77,0
7150,0.14,0.17,0.68,0.14,0.37,0.44,0.28,0.42,0.49,0.6,0.65,0.6,0.73,0.57,0.08,0.06,0.06,0.06,1,0.65,0
7165,0.14,0.19,0.69,0.17,0.44,0.44,0.33,0.42,0.62,0.62,0.66,0.61,0.73,0.64,0.09,0.06,0.05,0.05,1,0.77,0
7344,0,0.11,0.33,0.16,0,0.34,0.28,0.53,0.16,0.46,0.7,0.64,0.76,0.56,0.06,0.06,0.06,0.06,0.11,0,0
7410,0.14,0.15,0.66,0.11,0,0.5,0.28,0.25,0.33,0.58,0.63,0.58,0.72,0.52,0.09,0.16,0.06,0.06,1,0,0
7460,0.14,0.18,0.62,0.16,0,1,0.28,0,0.38,0.58,0.58,0.45,0.62,0.66,0.19,0.04,0.04,0.06,0.19,0.48,0
7519,0.14,0.13,0.72,0.09,0,0.43,0.28,0.5,0.3,0.52,0.48,0.4,0.59,0.52,0.08,0.1,0.07,0.07,1,0,0
7583,0.29,0.25,0.94,0.17,0.73,0.46,0.3,0.46,0.72,0.69,0.56,0.47,0.63,0.58,0.26,0.75,0.75,0.75,1,0.78,0
7654,0.14,0.21,0.7,0.2,0.51,0.45,0.21,0.41,0.65,0.63,0.69,0.6,0.73,0.73,0.12,0.05,0.04,0.07,0.07,0.63,0
7710,0.14,0.19,0.69,0.2,0.29,0.44,0.24,0.42,0.53,0.57,0.68,0.62,0.74,0.8,0.13,0.04,0.06,0.06,0.12,0.5,0
7714,0.14,0.23,0.7,0.26,0.34,0.45,0.23,0.41,0.56,0.61,0.68,0.62,0.74,0.82,0.14,0.03,0.03,0.02,0.07,0.37,0
7731,0.14,0.15,0.66,0.12,0,0.44,0.28,0.5,0.37,0.56,0.55,0.42,0.6,0.64,0.07,0.06,0.06,0.05,1,1,0
7749,0,0.08,0.34,0.13,0,0.35,0.28,0.53,0.12,0.4,0.66,0.61,0.74,0.56,0.02,0.07,0.06,0.06,0.79,0,0
7762,0,0.1,0.39,0.16,0,0.38,0.28,0.5,0.29,0.44,0.66,0.61,0.74,0.65,0.02,0.06,0.05,0.05,0.64,0.6,0
7770,0,0.12,0.43,0.19,0,0.4,0.35,0.48,0.31,0.47,0.66,0.61,0.74,0.69,0.04,0.05,0.04,0.04,0.8,0.5,0
7793,0,0.16,0.44,0.26,0.22,0.5,0.22,0.28,0.37,0.54,0.56,0.38,0.57,0.75,0.26,0.04,0.05,0.03,0.08,0.5,0
7799,0,0.17,0.52,0.29,0.24,0.44,0.21,0.45,0.51,0.54,0.66,0.61,0.74,0.82,0.02,0.03,0.03,0.03,0.15,0.32,0
7888,0,0.2,0.41,0.29,0.26,0.49,0.18,0.3,0.38,0.58,0.69,0.55,0.69,0.74,0.31,0.03,0.03,0.03,0.07,0.47,0
7921,0.14,0.12,0.63,0.07,0,0.4,0.28,0.45,0.19,0.48,0.68,0.62,0.74,0.53,0.09,0.08,0.07,0.07,0.13,0,0
7966,0.14,0.11,0.71,0.08,0,0.5,0.28,0.25,0.16,0.43,0.42,0.34,0.55,0.66,0.2,0.1,0.09,0.05,0.13,0,0
7991,0,0.08,0.34,0.13,0,0.47,0.28,0.35,0.16,0.4,0.63,0.59,0.72,0.54,0.03,0.07,0.06,0.06,0.29,0,0
8025,0,0.04,0.28,0.06,0,0.21,0.28,0.63,0.16,0.28,0.58,0.45,0.63,0.36,0.01,0.1,0.09,0.09,1,0,0
8030,0.14,0.06,0.8,0.01,0,0.38,0.28,0.5,0.14,0.41,0,0.13,0.39,0.11,0.06,0.12,1,1,1,0,0
8051,0,0.1,0.39,0.16,0,0.49,0.28,0.29,0.25,0.44,0.63,0.58,0.72,0.68,0.03,0.09,0.05,0.05,0.32,0.5,0
8091,0,0.15,0.49,0.26,0.22,0.43,0.19,0.46,0.49,0.52,0.65,0.61,0.74,0.77,0.02,0.04,0.05,0.03,0.21,0.33,0
8103,0,0.07,0.41,0.14,0,0.49,0.28,0.29,0.11,0.33,0.24,0.11,0.34,0.63,0.02,0.06,0.05,0.05,0.21,0.48,0
8118,0,0.07,0.41,0.15,0,0.39,0.28,0.58,0.11,0.33,0.74,0.72,0.81,0.6,0.03,1,1,1,1,0.48,0
8129,0,0.09,0.45,0.17,0,0.49,0.04,0.29,0.22,0.38,0.24,0.13,0.34,0.69,0.02,0.05,0.04,0.04,0.25,0.45,0
8130,0,0.09,0.45,0.16,0,0.49,0.04,0.29,0.25,0.41,0.54,0.43,0.61,0.67,0.03,0.05,0.05,0.05,0.32,0.5,0
8148,0,0.11,0.49,0.21,0.09,0.42,0.31,0.56,0.31,0.41,0.29,0.17,0.41,0.76,0.03,1,1,1,0.1,0.37,0
8186,0,0.16,0.56,0.29,0.24,0.5,0.25,0.27,0.54,0.53,0.54,0.43,0.61,0.82,0.03,0.03,0.02,0.02,0.28,0.27,0
8635,0.14,0.2,0.63,0.17,0.49,0.43,0.28,0.44,0.49,0.63,0.68,0.61,0.74,0.63,0.1,0.1,0.05,0.05,0.08,0.53,0
8797,0.14,0.2,0.63,0.17,0.51,0.44,0.19,0.42,0.48,0.63,0.7,0.61,0.73,0.67,0.1,0.06,0.05,0.05,0.08,0.72,0
8858,0,0.09,0.27,0.12,0,0.49,0.28,0.29,0.16,0.46,0.66,0.56,0.7,0.58,0.06,0.07,0.06,0.06,0.13,0,0
8892,0,0.1,0.39,0.16,0,0.48,0.28,0.33,0.25,0.44,0.63,0.59,0.72,0.62,0.03,0.06,0.05,0.05,0.51,0.4,0
9609,0,0.04,0.28,0.09,0,0.31,0.28,0.63,0.16,0.21,0.74,0.72,0.81,0.41,0,1,1,1,1,0,0
10430,0,0.09,0.27,0.13,0,0.47,0.28,0.35,0.16,0.43,0.65,0.59,0.73,0.58,0.17,0.07,0.06,0.06,0.13,0,0
10722,0.14,0.15,0.66,0.11,0.37,0.5,0.28,0.25,0.41,0.58,0.6,0.48,0.64,0.66,0.09,0.07,0.06,0.06,1,0,0
10821,0.14,0.13,0.72,0.07,0,1,0.28,0,0.34,0.58,0.48,0.41,0.6,0.52,0.2,0.08,0.08,0.07,1,0,0
10882,0,0.12,0.43,0.19,0,0.4,0.35,0.48,0.31,0.47,0.66,0.61,0.74,0.72,0.02,0.05,0.04,0.04,0.65,0.5,0
10890,0,0.15,0.49,0.26,0.15,0.43,0.26,0.46,0.43,0.52,0.66,0.61,0.74,0.77,0.04,0.06,0.1,0.1,0.26,0.35,0
10976,0,0.1,0.39,0.17,0,0.49,0.28,0.29,0.16,0.4,0.42,0.3,0.52,0.68,0.04,0.09,0.04,0.04,0.11,0.58,0
11002,0,0.11,0.49,0.22,0.09,0.42,0.31,0.56,0.31,0.41,0.74,0.72,0.81,0.71,0.03,1,1,1,1,0.37,0
11509,0,0.08,0.34,0.13,0,0.49,0.28,0.29,0.12,0.4,0.64,0.6,0.73,0.6,0.03,0.06,0.06,0.05,0.29,0,0
11552,0,0.06,0.27,0.1,0,0.48,0.28,0.3,0.03,0.36,0.57,0.44,0.61,0.58,0.18,0.07,0.07,0.07,0.15,0,0
12020,0,0.06,0.27,0.1,0,0.48,0.28,0.3,0.04,0.36,0.49,0.38,0.58,0.52,0.11,0.07,0.07,0.07,0.15,0,0
12178,0,0.08,0.34,0.14,0,0.49,0.28,0.29,0.08,0.36,0.42,0.32,0.54,0.63,0.08,0.06,0.05,0.05,0.13,0,0
12180,0,0.08,0.34,0.13,0,0.35,0.28,0.53,0.12,0.4,0.65,0.61,0.74,0.6,0.02,0.07,0.06,0.06,0.63,0,0
12232,0,0.02,0.17,0.07,0,0.33,0.28,0.5,0.16,0.13,0.7,0.59,0.72,0,0.01,1,1,1,1,0,0
12367,0,0.14,0.47,0.24,0.15,0.49,0.22,0.28,0.33,0.47,0.42,0.3,0.52,0.77,0.05,0.04,0.03,0.03,0.19,0.33,0
12741,0,0.15,0.49,0.26,0.22,0.5,0.24,0.28,0.42,0.52,0.63,0.58,0.72,0.8,0.03,0.04,0.03,0.03,0.32,0.32,0
14286,0.14,0.15,0.66,0.11,0,0.45,0.28,0.36,0.33,0.58,0.63,0.58,0.72,0.5,0.08,0.07,0.07,0.07,1,0,0
15380,0,0.04,0.28,0.1,0,0,0.28,0.83,0.16,0.21,0.83,0.79,0.86,0.51,0,1,1,1,1,0,0
18827,0,0.12,0.43,0.2,0,0.49,0.31,0.28,0.3,0.47,0.49,0.39,0.58,0.71,0.1,0.07,0.04,0.04,0.1,0.48,0
19310,0,0.04,0.28,0.11,0,0.42,0.28,0.42,0.16,0.21,0.7,0.58,0.7,0.11,0.02,1,1,1,0.17,0,0
22201,0.14,0.14,0.65,0.08,0,0.33,0.28,0.58,0.31,0.54,0.51,0.43,0.61,0.67,0.03,0.07,0.07,0.07,1,0,0
22386,0,0.06,0.27,0.11,0,0.48,0.28,0.3,0.01,0.32,0.42,0.29,0.51,0.53,0.04,0.06,0.1,0.1,0.15,0,0
22873,0,0.21,0.55,0.36,0.28,0.45,0.28,0.44,0.56,0.58,0.66,0.61,0.74,0.84,0.04,0.04,0.04,0.04,0.18,0.25,0
24915,0.14,0.31,0.63,0.33,0.59,0.46,0.25,0.4,0.72,0.71,0.75,0.66,0.76,0.87,0.28,0.03,0.02,0.02,0.05,0.37,0
26331,0.14,0.13,0.72,0.08,0,0.33,0.28,0.58,0.3,0.52,0.43,0.36,0.56,0.49,0.04,0.07,0.07,0.07,0.11,0,0
31244,0.14,0.17,0.68,0.14,0,0.44,0.04,0.42,0.53,0.6,0.63,0.48,0.64,0.62,0.09,0.06,0.1,0.1,1,0.88,0
31252,0.14,0.14,0.65,0.08,0,0.33,0.28,0.58,0.28,0.54,0.51,0.38,0.57,0.55,0.03,1,1,1,1,0,0
31265,0,0.14,0.47,0.23,0.09,0.42,0.34,0.47,0.34,0.5,0.66,0.61,0.74,0.77,0.02,0.04,0.04,0.04,0.14,0.4,0
31272,0,0.1,0.39,0.16,0,0.38,0.28,0.5,0.25,0.44,0.65,0.6,0.73,0.67,0.02,0.06,0.05,0.05,0.41,0.62,0
31276,0,0.13,0.37,0.19,0,0.4,0.28,0.48,0.25,0.49,0.67,0.6,0.73,0.68,0.15,0.05,0.04,0.04,0.16,0.53,0
61016,0,0.15,0.41,0.22,0,0.49,0.04,0.28,0.36,0.54,0.65,0.49,0.65,0.68,0.2,0.04,0.05,0.05,0.14,0.55,0
61138,0,0.08,0.34,0.12,0,0.47,0.28,0.35,0.2,0.44,0.65,0.59,0.72,0.5,0.09,0.08,0.07,0.07,0.13,0,0
62336,0.14,0.24,0.66,0.25,0.53,0.41,0.32,0.55,0.61,0.64,0.65,0.54,0.69,0.72,0.21,0.04,0.03,0.05,0.1,0.53,0
62433,0,0.17,0.52,0.29,0.19,0.44,0.27,0.45,0.46,0.54,0.66,0.61,0.74,0.79,0.04,0.05,0.03,0.03,0.15,0.32,0
62444,0,0.08,0.34,0.14,0,0.5,0.28,0.28,0.12,0.4,0.8,0.8,0.87,0.6,0.02,0.07,0.06,0.11,0.13,0,1
62465,0.14,0.2,0.63,0.18,0.35,0.44,0.28,0.42,0.52,0.61,0.62,0.49,0.65,0.72,0.09,0.05,0.07,0.04,0.08,0.82,0
93009,0.43,0.34,0.67,0.24,0.44,0.47,0.28,0.38,0.7,0.71,0.78,0.7,0.79,0.81,0.41,0.05,0.04,0.02,0.06,0.47,0
